car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
Mahindra KUV 100 NXT,226,Petrol,1198,3,6,Manual,35,Hatchback,4.5,784000,115,3600,82,5500
Citroen C3,57,Petrol,1199,3,5,Manual,30,Hatchback,4.5,806000,190,1750,108.62,5500
Renault Triber,774,Petrol,999,3,7,Automatic,40,MUV,4.5,851000,96,3500,71,6250
Tata Tigor,136,CNG,1199,3,5,Manual,60,Sedan,4.5,859000,95,3500,72.4,6000
Maruti Swift,205,Petrol,1197,4,5,Automatic,37,Hatchback,4,885000,113,4400,88.5,6000
Hyundai Aura,261,Petrol,998,3,5,Manual,37,Sedan,4.5,887000,172,4000,98.63,6000
Mercedes-Benz CLS,60,Diesel,1950,4,5,Automatic,66,Coupe,4.5,912000,500,2400,241.3,4200
Maruti Dzire,245,Petrol,1197,4,5,Automatic,37,Sedan,4.5,918000,113,4400,88.5,6000
Tata Punch,381,Petrol,1199,3,5,Automatic,37,SUV,4.5,949000,113,3400,84.48,6000
Maruti Baleno,137,Petrol,1197,4,5,Automatic,37,Hatchback,4.5,971000,113,4400,88.5,6000
Mercedes-Benz AMG GLC 43,9,Petrol,2996,6,5,Automatic,0,SUV,4.5,976000,520,5000,384.87,6100
Mercedes-Benz AMG A 45 S,35,Petrol,1991,4,5,Automatic,0,Hatchback,4.5,999000,500,5250,415.71,6750
Honda City 4th Generation,1067,Petrol,1497,4,5,Manual,40,Sedan,4.5,1000000,145,4600,117.6,6600
Tata Altroz,1025,Diesel,1497,4,5,Manual,37,Hatchback,4.5,1025000,200,3000,88.77,4000
Mahindra Bolero,107,Diesel,1498,3,7,Manual,60,SUV,4.5,1026000,210,2200,74.96,3600
Honda Jazz,41,Petrol,1199,4,5,Automatic,40,Hatchback,4.5,1032000,110,4800,88.5,6000
BMW 3 Series Gran Limousine,3,Petrol,1998,4,5,Automatic,59,Sedan,4.5,1041000,400,4400,254.79,5000
Renault Kiger,228,Petrol,999,3,5,Automatic,40,SUV,4.5,1062000,152,4400,98.63,5000
Nissan Magnite,278,Petrol,999,3,5,Automatic,40,SUV,4.5,1079000,152,4400,98.63,5000
Honda Amaze,85,Diesel,1498,4,5,Automatic,35,Sedan,4.5,1150000,160,1750,79.12,3600
Hyundai i20,432,Petrol,998,3,5,Automatic,37,Hatchback,3.5,1154000,171.62,4000,118.36,6000
Mahindra Bolero Neo,97,Diesel,1493,3,7,Manual,50,SUV,4.5,1173000,260,2250,100,3750
Maruti Ciaz,666,Petrol,1462,4,5,Automatic,43,Sedan,4.5,1198000,138,4400,103.25,6000
Honda WR-V,81,Diesel,1498,4,5,Manual,40,SUV,4.5,1231000,200,1750,97.89,3600
Hyundai Venue,36,Petrol,998,3,5,Automatic,45,SUV,4.5,1272000,172,4000,118.41,6000
Maruti Ertiga,110,Petrol,1462,4,7,Automatic,45,MUV,4.5,1279000,136.8,4400,101.65,6000
Maruti S-Cross,77,Petrol,1462,4,5,Automatic,48,SUV,4.5,1292000,138,4400,103.25,6000
Kia Sonet,523,Diesel,1493,4,5,Automatic,45,SUV,4,1379000,250,2750,113.43,4000
Maruti Brezza,86,Petrol,1462,4,5,Automatic,48,SUV,4.5,1396000,136.8,4400,101.65,6000
Mahindra XUV300,2245,Diesel,1497,4,5,Automatic,42,SUV,4.5,1407000,300,2500,115,3750
Tata Nexon,568,Diesel,1497,4,5,Automatic,44,SUV,4.5,1408000,260,2750,108.49,4000
Volkswagen Vento,94,Petrol,999,3,5,Automatic,55,Sedan,4.5,1444000,175,4000,108.62,5500
Force Gurkha,28,Diesel,2596,4,4,Manual,63,SUV,4.5,1449000,250,2400,89.84,3200
Maruti XL6,58,Petrol,1462,4,6,Automatic,45,MUV,4.5,1455000,136.8,4400,101.65,6000
Nissan Kicks,257,Petrol,1330,4,5,Automatic,50,SUV,4.5,1490000,254,1600,153.87,5500
Mahindra Marazzo,321,Diesel,1497,4,8,Manual,45,MUV,4.5,1544000,300,2500,120.96,3500
Hyundai Verna,234,Diesel,1493,4,5,Automatic,45,Sedan,4.5,1545000,250,2750,113.45,4000
Mahindra Scorpio Classic,14,Diesel,2184,4,7,Manual,60,SUV,4.5,1549000,300,2800,130.07,3750
Honda City,162,Diesel,1498,4,5,Manual,40,Sedan,4.5,1552000,200,1750,97.89,3600
Mahindra Thar,242,Diesel,2184,4,4,Automatic,57,SUV,4.5,1603000,300,2800,130,3750
Volkswagen Virtus,69,Petrol,1498,4,5,Automatic,45,Sedan,4.5,1792000,250,3500,147.51,6000
MG Astor,101,Petrol,1349,3,5,Automatic,45,SUV,4.5,1813000,220,3600,138.08,5600
Hyundai Creta,731,Diesel,1493,4,5,Automatic,50,SUV,4.5,1818000,250,2750,113.45,4000
Skoda Slavia,52,Petrol,1498,4,5,Automatic,45,Sedan,4.5,1839000,250,3500,147.52,6000
Volkswagen Taigun,68,Petrol,1498,4,5,Automatic,50,SUV,4.5,1860000,250,3500,147.51,6000
Kia Seltos,2171,Diesel,1493,4,5,Automatic,50,SUV,4.5,1865000,250,2750,113.43,4000
Skoda Kushaq,172,Petrol,1498,4,5,Automatic,50,SUV,4.5,1949000,250,3500,147.51,6000
Mercedes-Benz AMG A 35,21,Petrol,1991,4,5,Automatic,51,Sedan,4.5,1989000,400,4000,301.73,5800
MG Hector,200,Diesel,1956,4,5,Manual,60,SUV,4,2011000,350,2500,167.68,3750
Hyundai Alcazar,207,Diesel,1493,4,7,Automatic,50,SUV,4,2025000,250,2750,113.42,4000
Jeep Meridian,78,Diesel,1956,4,7,Automatic,60,SUV,4.5,2075000,350,2500,167.67,3750
MG Hector Plus,2,Diesel,1956,4,7,Manual,60,SUV,4.5,2075000,350,2500,167.67,3750
Tata Harrier,2392,Diesel,1956,4,5,Automatic,50,SUV,4.5,2220000,350,2500,167.67,3750
Mahindra Scorpio-N,107,Diesel,2198,4,7,Automatic,57,SUV,4.5,2390000,400,2750,172.45,3500
Hyundai Kona Electric,40,Electric,0,0,5,Electric,0,SUV,4.5,2403000,395,0,134.1,0
Mahindra XUV700,313,Diesel,2198,4,7,Automatic,60,SUV,4.5,2458000,450,2800,182.38,3500
MG ZS EV,14,Electric,0,0,5,Electric,0,SUV,4.5,2588000,280,0,173.83,0
Toyota Innova Crysta,91,Diesel,2393,4,8,Automatic,55,MUV,4.5,2654000,360,2600,148,3400
Isuzu D-Max,8,Diesel,1898,4,5,Automatic,0,SUV,4.5,2700000,360,2500,160.92,3600
BYD E6,6,Electric,0,0,5,Electric,0,MUV,4.5,2915000,180,0,93.87,0
Skoda Octavia,20,Petrol,1984,4,5,Automatic,50,Sedan,4.5,2985000,320,3990,187.74,6000
Mercedes-Benz GLC Coupe,5,Diesel,1950,4,5,Automatic,66,Coupe,5,3132000,500,2400,241.38,4200
Mahindra Alturas G4,122,Diesel,2157,4,7,Automatic,70,SUV,4.5,3188000,420,2600,178.49,3800
Volkswagen Tiguan,5,Petrol,1984,4,5,Automatic,60,SUV,4.5,3280000,320,4100,187.74,6000
Citroen C5 Aircross,44,Diesel,1997,4,5,Automatic,52.5,SUV,4,3378000,400,2000,174.33,3750
